time,open,high,low,close,Volume,Volume MA
2001-01-02T09:00:00-02:00,1955,1958,1945.5,1952.17,61039,56769
2001-01-03T09:00:00-02:00,1957,1958,1940.5,1942.43,67951,56598.05
2001-01-04T09:00:00-02:00,1941.5,1954.5,1941.5,1951.49,64610,55239.6
2001-01-05T09:00:00-02:00,1961,1968,1958.5,1965.96,68190,54863.75
2001-01-08T09:00:00-02:00,1962,1966,1958.5,1959.63,79465,55013.3
2001-01-09T09:00:00-02:00,1958,1959.5,1949.5,1951.6,54781,54987.75
2001-01-10T09:00:00-02:00,1953,1954.5,1948,1952.6,63544,54633.35
2001-01-11T09:00:00-02:00,1951.5,1965,1951,1962.58,31726,52335.65
2001-01-12T09:00:00-02:00,1961,1963.5,1953.5,1954.55,56110,52142.65
2001-01-15T09:00:00-02:00,1956,1956.5,1951.5,1954.19,65578,52626
2001-01-16T09:00:00-02:00,1956.5,1960.5,1956,1957.73,66986,53433.3
2001-01-17T09:00:00-02:00,1955.5,1962,1953.5,1960.76,80700,54734.55
2001-01-18T09:00:00-02:00,1960,1962,1956.5,1960.79,52305,55114.8
2001-01-19T09:00:00-02:00,1956,1965,1955,1961.84,56476,54205.55
2001-01-22T09:00:00-02:00,1962,1964,1960,1960.82,109963,57025.2
2001-01-23T09:00:00-02:00,1961,1965.5,1960,1963.06,82961,57868.4
2001-01-24T09:00:00-02:00,1963,1973.5,1960,1971.95,76432,56940.85
2001-01-26T09:00:00-02:00,1972,1979.5,1972,1976.69,0,56940.85
2001-01-29T09:00:00-02:00,1974,1978,1973,1974.79,0,56940.85
2001-01-30T09:00:00-02:00,1972,1977.5,1964,1965.51,0,56940.85
2001-01-31T09:00:00-02:00,1977.5,1984,1976.5,1982.24,95878,58682.8
2001-02-01T09:00:00-02:00,1981,1998,1981,1995.58,95878,60079.15
2001-02-02T09:00:00-02:00,1998,2006,1995.5,1997.33,112446,62470.95
2001-02-05T09:00:00-02:00,1998,2014.5,1997.5,2012.84,75659,62844.4
2001-02-06T09:00:00-02:00,2009,2012,2003.5,2008.01,92933,63517.8
2001-02-07T09:00:00-02:00,2011,2014,2009,2011.29,0,60778.75
2001-02-08T09:00:00-02:00,2009,2009,1996.5,1997.48,81556,61679.35
2001-02-09T09:00:00-02:00,1997,2000.5,1985.5,1987.12,0,60093.05
2001-02-12T09:00:00-02:00,1987,1990,1984.5,1987.74,80201,61297.6
2001-02-13T09:00:00-02:00,1985,1992,1983,1991.44,102260,63131.7
2001-02-14T09:00:00-02:00,1990,1998,1989,1992.44,89640,64264.4
2001-02-15T09:00:00-02:00,1987.1,1994,1984,1992.51,89640,64711.4
2001-02-16T09:00:00-02:00,1994,2011,1994,2006,0,62096.15
2001-02-19T09:00:00-03:00,2004,2008,2002,2004.56,0,59272.35
2001-02-20T09:00:00-03:00,2008,2012.5,2004,2011.24,0,53774.2
2001-02-21T09:00:00-03:00,2045.56,2045.56,2045.56,2045.56,0,49626.15
2001-02-22T09:00:00-03:00,2038,2049,2029,2043.71,104600,51034.55
2001-02-23T09:00:00-03:00,2038,2050,2033,2036.51,0,51034.55
2001-02-28T09:00:00-03:00,2055,2064,2055,2060.22,0,51034.55
2001-03-01T09:00:00-03:00,2062,2062,2047,2056.67,83745,55221.8
2001-03-02T09:00:00-03:00,2048,2057,2036.5,2038.21,0,50427.9
2001-03-05T09:00:00-03:00,2036,2038,2030.5,2033.65,0,45634
2001-03-06T09:00:00-03:00,2044.23,2044.23,2044.23,2044.23,0,40011.7
2001-03-07T09:00:00-03:00,2047,2059.5,2044,2053.31,0,36228.75
2001-03-08T09:00:00-03:00,2049.5,2071,2042.5,2063.79,77554,35459.8
2001-03-09T09:00:00-03:00,2067,2077,2053.5,2054.97,0,35459.8
2001-03-12T09:00:00-03:00,2057,2078,2057,2068.77,0,31382
2001-03-13T09:00:00-03:00,2075,2078,2066,2072.06,0,31382
2001-03-14T09:00:00-03:00,2075,2093,2075,2082.78,0,27371.95
2001-03-15T09:00:00-03:00,2106.82,2106.82,2106.82,2106.82,54510,24984.45
2001-03-16T09:00:00-03:00,2125,2149,2114,2131.48,0,20502.45
2001-03-19T09:00:00-03:00,2123,2186,2086,2117.22,0,16020.45
2001-03-20T09:00:00-03:00,2130,2134,2086,2091.52,57876,18914.25
2001-03-21T09:00:00-03:00,2096,2135,2095,2126.91,0,18914.25
2001-03-22T09:00:00-03:00,2132,2170,2130,2167.04,65623,22195.4
2001-03-23T09:00:00-03:00,2170,2183,2154.5,2177.58,0,22195.4
2001-03-26T09:00:00-03:00,2150,2161,2131,2140.25,0,16965.4
2001-03-27T09:00:00-03:00,2141,2145,2113,2118.03,0,16965.4
2001-03-28T09:00:00-03:00,2121,2129.5,2110,2126.4,0,16965.4
2001-03-29T09:00:00-03:00,2126,2154,2126,2152.3,0,12778.15
2001-03-30T09:00:00-03:00,2170,2192.5,2170,2175.31,0,12778.15
2001-04-02T09:00:00-03:00,2184.77,2184.77,2184.77,2184.77,0,12778.15
2001-04-03T09:00:00-03:00,2191.77,2191.77,2191.77,2191.77,0,12778.15
2001-04-04T09:00:00-03:00,2190.37,2190.37,2190.37,2190.37,77699,16663.1
2001-04-05T09:00:00-03:00,2180,2188,2162,2166.34,59033,15737.05
2001-04-06T09:00:00-03:00,2160,2184,2159,2180.63,82120,19843.05
2001-04-09T09:00:00-03:00,2175.02,2183,2165,2169.99,85485,24117.3
2001-04-10T09:00:00-03:00,2164,2164,2146,2148.71,58835,27059.05
2001-04-11T09:00:00-03:00,2146,2172,2144,2165.6,0,27059.05
2001-04-12T09:00:00-03:00,2164.6,2164.6,2164.6,2164.6,0,24333.55
2001-04-16T09:00:00-03:00,2204.41,2204.41,2204.41,2204.41,0,24333.55
2001-04-17T09:00:00-03:00,2205.71,2205.71,2205.71,2205.71,0,24333.55
2001-04-18T09:00:00-03:00,2189.72,2189.72,2189.72,2189.72,50775,23978.5
2001-04-19T09:00:00-03:00,2203.09,2203.09,2203.09,2203.09,52960,26626.5
2001-04-20T09:00:00-03:00,2212,2279,2212,2239.5,57790,26234.85
2001-04-23T09:00:00-03:00,2243,2287,2243,2266.2,0,26234.85
2001-04-24T09:00:00-03:00,2255,2280,2253,2268.31,0,26234.85
2001-04-25T09:00:00-03:00,2285,2315,2282,2301.14,0,26234.85
2001-04-26T09:00:00-03:00,2264,2280,2241,2244.71,0,26234.85
2001-04-27T09:00:00-03:00,2245,2250,2201,2205,0,26234.85
2001-04-30T09:00:00-03:00,2200,2228,2197,2225.96,0,26234.85
2001-05-02T09:00:00-03:00,2262.36,2262.36,2262.36,2262.36,55154,28992.55
2001-05-03T09:00:00-03:00,2267,2275,2229,2233.71,48832,31434.15
2001-05-04T09:00:00-03:00,2218,2253,2218,2230.01,54002,30249.3
2001-05-07T09:00:00-03:00,2220,2237,2210,2232.59,54856,30040.45
2001-05-08T09:00:00-03:00,2233,2269,2233,2265.85,67345,29301.7
2001-05-09T09:00:00-03:00,2269,2285,2268,2282.21,0,25027.45
2001-05-10T09:00:00-03:00,2276.78,2276.78,2276.78,2276.78,0,22085.7
2001-05-11T09:00:00-03:00,2283,2313,2280,2305,0,22085.7
2001-05-14T09:00:00-03:00,2328.72,2328.72,2328.72,2328.72,52991,24735.25
2001-05-15T09:00:00-03:00,2353.47,2353.47,2353.47,2353.47,57711,27620.8
2001-05-16T09:00:00-03:00,2328.15,2328.15,2328.15,2328.15,0,27620.8
2001-05-17T09:00:00-03:00,2313.82,2313.82,2313.82,2313.82,50167,27590.4
2001-05-18T09:00:00-03:00,2308,2316,2298,2313,65141,28199.45
2001-05-21T09:00:00-03:00,2325,2343,2325,2329.4,0,25309.95
2001-05-22T09:00:00-03:00,2323,2341,2305,2334.08,0,25309.95
2001-05-23T09:00:00-03:00,2355.49,2355.49,2355.49,2355.49,67647,28692.3
2001-05-24T09:00:00-03:00,2355.75,2355.75,2355.75,2355.75,46207,31002.65
2001-05-25T09:00:00-03:00,2360,2380,2310,2320.14,58637,33934.5
2001-05-28T09:00:00-03:00,2316,2339,2313,2337.22,0,33934.5
2001-05-29T09:00:00-03:00,2345,2357,2333,2348.2,0,33934.5
2001-05-30T09:00:00-03:00,2350,2366,2340,2343.3,0,31176.8
2001-05-31T09:00:00-03:00,2391.73,2391.73,2391.73,2391.73,50292,31249.8
2001-06-01T09:00:00-03:00,2405,2415,2395,2402,0,28549.7
2001-06-04T09:00:00-03:00,2381,2407,2377,2401.36,0,25806.9
2001-06-05T09:00:00-03:00,2404.5,2413,2395,2409.08,0,22439.65
2001-06-06T09:00:00-03:00,2395,2411.5,2361,2405.64,0,22439.65
2001-06-07T09:00:00-03:00,2412,2415,2404.5,2406.5,36203,24249.8
2001-06-08T09:00:00-03:00,2377,2391,2366,2380,51160,26807.8
2001-06-11T09:00:00-03:00,2393.66,2393.66,2393.66,2393.66,0,24158.25
2001-06-12T09:00:00-03:00,2411.76,2411.76,2411.76,2411.76,40917,23318.55
2001-06-13T09:00:00-03:00,2421,2439,2409,2429,40917,25364.4
2001-06-15T09:00:00-03:00,2438,2449,2409,2422.66,0,22856.05
2001-06-18T09:00:00-03:00,2445.1,2486,2445.1,2468.23,0,19599
2001-06-19T09:00:00-03:00,2469,2493,2461,2486.85,0,19599
2001-06-20T09:00:00-03:00,2490,2492,2473,2477.37,0,19599
2001-06-21T09:00:00-03:00,2460,2467.5,2379,2389.39,69095,19671.4
2001-06-22T09:00:00-03:00,2373,2373,2310,2310,56708,20196.45
2001-06-25T09:00:00-03:00,2300.69,2300.69,2300.69,2300.69,0,17264.6
2001-06-26T09:00:00-03:00,2308.5,2339,2308.5,2325.97,0,17264.6
2001-06-27T09:00:00-03:00,2327.76,2327.76,2327.76,2327.76,0,17264.6
2001-06-28T09:00:00-03:00,2301.23,2301.23,2301.23,2301.23,0,17264.6
2001-06-29T09:00:00-03:00,2345,2345.99,2309,2345.5,0,14750
2001-07-02T09:00:00-03:00,2358.29,2358.29,2358.29,2358.29,0,14750
2001-07-03T09:00:00-03:00,2361,2400,2357,2378.93,0,14750
2001-07-04T09:00:00-03:00,2444.7,2444.7,2444.7,2444.7,0,14750
2001-07-05T09:00:00-03:00,2445,2523,2405,2488.93,0,14750
2001-07-06T09:00:00-03:00,2530,2585,2450,2487,0,12939.85
2001-07-10T09:00:00-03:00,2518.55,2518.55,2518.55,2518.55,0,10381.85
2001-07-11T09:00:00-03:00,2567,2598,2519,2529.39,0,10381.85
